lambda_l1,max_depth,num_leaves,min_data_in_leaf,rmse_pred_train_avg,rmse_pred_train_stdev,rmse_pred_test_avg,rmse_pred_test_stdev,rmse_prog_avg,rmse_prog_stdev
0.0001,9,256,23,51.049220192427306,17.66939421610844,58.008163251986325,15.69521545283309,45.69189420487192,17.846520020287922
0.0001,9,512,23,50.99236791324113,18.690624519901743,59.38949751539816,13.478823752035701,45.69189420487192,17.846520020287922
0.0001,10,512,28,50.56716637185634,20.57971851253342,60.23975144184986,27.405977527379772,45.69189420487192,17.846520020287922
0.0001,9,256,28,48.38105265636116,17.06537268973454,61.25309969155633,22.853574780546705,45.69189420487192,17.846520020287922
0.0001,10,128,28,47.289659147102185,13.488276800477346,61.354045310549225,23.884513031200225,45.69189420487192,17.846520020287922
0.0001,9,512,28,49.56971064271495,16.150795853636243,61.574786253176846,22.642511188671893,45.69189420487192,17.846520020287922
0.0001,-1,256,28,53.07062868092398,26.16470144254626,62.064459854622335,29.62790293471252,45.69189420487192,17.846520020287922
0.0001,10,256,28,52.34892819825552,21.778881894894134,62.330628383327415,26.658703585953926,45.69189420487192,17.846520020287922
0.0001,10,256,23,50.73870733012671,20.340081763337533,64.90939033324906,27.130397363585434,45.69189420487192,17.846520020287922
0.0001,8,128,28,50.456354531621784,18.144900187745513,65.36683096084309,23.568256208132713,45.69189420487192,17.846520020287922
0.0001,-1,256,23,41.80886473963622,17.307172537004128,65.59987321262842,28.017481260695256,45.69189420487192,17.846520020287922
0.0001,10,512,23,48.59602640888907,18.089613263984653,66.1231545533984,28.366318260782684,45.69189420487192,17.846520020287922
0.0001,-1,128,28,49.11870869821577,21.814289961108816,66.32303265811692,30.329352486429983,45.69189420487192,17.846520020287922
0.0001,9,128,23,53.49183188992501,16.252326859828205,67.29767550652213,28.902941048669117,45.69189420487192,17.846520020287922
0.0001,9,128,28,48.46800513923031,20.11526327358407,67.40122442078486,23.701576836749677,45.69189420487192,17.846520020287922
0.0001,10,128,23,51.38440164148796,19.472609895616774,68.69827274106582,20.014639458243288,45.69189420487192,17.846520020287922
0.0001,8,512,28,47.7651339394685,15.400489192751074,69.10409449973952,14.814275735880969,45.69189420487192,17.846520020287922
0.0001,8,256,28,47.7651339394685,15.400489192751074,69.10409449973952,14.814275735880969,45.69189420487192,17.846520020287922
0.0001,-1,128,23,48.2905727337726,18.01879178825074,69.25185506290207,25.59807239739433,45.69189420487192,17.846520020287922
0.0001,8,512,33,52.881479401113644,16.72929718835622,69.52467778187065,24.75061923787448,45.69189420487192,17.846520020287922
0.0001,8,256,33,52.881479401113644,16.72929718835622,69.52467778187065,24.75061923787448,45.69189420487192,17.846520020287922
0.0001,-1,512,28,44.30917690470279,21.643837668971905,69.72641686813849,31.88995270360101,45.69189420487192,17.846520020287922
0.0001,8,256,23,54.34713361707088,17.577734724340193,70.70756120814349,25.852229562445718,45.69189420487192,17.846520020287922
0.0001,8,512,23,54.34713361707088,17.577734724340193,70.70756120814349,25.852229562445718,45.69189420487192,17.846520020287922
0.0001,8,128,33,48.92106178733442,15.649685809802877,71.42623465289054,25.88440257540553,45.69189420487192,17.846520020287922
0.0001,8,128,23,50.010189526855015,20.22821745701982,72.22592989045697,26.81289304333617,45.69189420487192,17.846520020287922
0.0001,10,128,33,47.17227562987673,17.18122391258264,73.05252674256991,30.921770432212956,45.69189420487192,17.846520020287922
0.0001,-1,512,23,42.25766619356184,28.501398529675384,73.67738169892375,31.308428235664746,45.69189420487192,17.846520020287922
0.0001,10,256,33,50.4279871728976,21.587570659628586,73.75288003543828,35.40433327645942,45.69189420487192,17.846520020287922
0.0001,9,128,33,52.331745818044816,21.418559942412646,74.6851309155725,30.38274762497889,45.69189420487192,17.846520020287922
0.0001,-1,512,33,45.81817637694438,21.334157381225126,74.9155659075647,31.61914051933939,45.69189420487192,17.846520020287922
0.0001,-1,128,33,46.954773685204216,13.105829967436279,75.92149099747544,25.877285114992237,45.69189420487192,17.846520020287922
0.0001,9,256,33,50.39060755871765,20.462228242406646,76.34563624026458,31.954839571683113,45.69189420487192,17.846520020287922
0.0001,10,512,33,53.43295515772977,18.12696640540509,76.95654439398683,32.60279388653154,45.69189420487192,17.846520020287922
0.0001,9,512,33,51.16719293859353,22.156686983931724,77.28626957990637,32.362507073709494,45.69189420487192,17.846520020287922
0.0001,-1,256,33,48.42693364298523,24.792161886471536,79.5863449937393,30.80176226628683,45.69189420487192,17.846520020287922
