lambda_l1,max_depth,num_leaves,min_data_in_leaf,rmse_pred_train_avg,rmse_pred_train_stdev,rmse_pred_test_avg,rmse_pred_test_stdev,rmse_prog_avg,rmse_prog_stdev
0.0001,9,256,27,51.134418909473005,19.921935102136263,59.86451579946936,27.540760865795743,45.69189420487192,17.846520020287922
0.0001,9,256,95,53.378955181797295,21.343906798863586,66.1284529792563,28.20905715855553,45.69189420487192,17.846520020287922
0.0001,9,256,324,54.17409874946274,17.771959164876044,66.44341599204304,22.8714347906397,45.69189420487192,17.846520020287922
0.0001,9,256,808,58.372319328625196,18.493081196817585,67.95078067445543,27.34829410124856,45.69189420487192,17.846520020287922
0.0001,9,256,981,58.91718666219981,16.626589143406015,68.11667416797192,25.47269691164255,45.69189420487192,17.846520020287922
0.0001,9,256,306,56.71663286739335,16.429559075637766,69.06146370101976,25.951839547961086,45.69189420487192,17.846520020287922
0.0001,9,256,859,58.55583387742739,17.40540556021506,69.68642529328727,26.359469999145862,45.69189420487192,17.846520020287922
0.0001,9,256,957,58.29819712823236,17.09745607953327,69.96918429139984,26.842696865211753,45.69189420487192,17.846520020287922
0.0001,9,256,923,58.89198718001062,16.33724774816557,70.52767586255982,27.100508816789528,45.69189420487192,17.846520020287922
0.0001,9,256,616,54.57305494331974,17.004175994304155,72.8854202033788,28.651480937470197,45.69189420487192,17.846520020287922
