eta,n_estimators,max_depth,min_child_weight,reg_lambda,subsample,rmse_pred_train_avg,rmse_pred_train_stdev,rmse_pred_test_avg,rmse_pred_test_stdev,rmse_prog_avg,rmse_prog_stdev
0.12,247,6,7,0.038,0.7,46.89004903740279,20.4724885279103,56.714683129337914,17.98762681162413,45.69189420487192,17.846520020287922
0.12,247,6,7,0.038,0.71,47.95757071238366,16.30617629147093,68.74680782027966,27.269467747243908,45.69189420487192,17.846520020287922
0.12,247,7,7,0.038,0.7,49.567563506395366,15.00032841978921,74.77404728589026,34.55107398586638,45.69189420487192,17.846520020287922
0.12,247,7,7,0.038,0.71,48.625481999772646,13.369810627594156,67.7749769937559,29.270795432903178,45.69189420487192,17.846520020287922
0.12,248,6,7,0.038,0.7,45.98188278881719,18.612166854161213,57.84354534094088,17.34793188073735,45.69189420487192,17.846520020287922
0.12,248,6,7,0.038,0.71,50.01692118134934,15.729613909880548,63.57020412399987,27.388521126030028,45.69189420487192,17.846520020287922
0.12,248,7,7,0.038,0.7,50.37920697923151,16.972951315664005,74.1878880614289,31.135877172086932,45.69189420487192,17.846520020287922
0.12,248,7,7,0.038,0.71,53.355258202154836,17.061022844628987,64.84643878924463,25.61397750815093,45.69189420487192,17.846520020287922
0.12,249,6,7,0.038,0.7,47.30737583720787,20.234760976949243,56.935360157242584,20.001603858868258,45.69189420487192,17.846520020287922
0.12,249,6,7,0.038,0.71,47.23758922169121,17.251150268623398,65.30828566219797,26.372753925975708,45.69189420487192,17.846520020287922
0.12,249,7,7,0.038,0.7,48.61707666212755,15.20610798062322,77.52282129831492,34.08729436290186,45.69189420487192,17.846520020287922
0.12,249,7,7,0.038,0.71,52.22765580471703,15.272171706329338,64.87265704317424,28.62697013674959,45.69189420487192,17.846520020287922
0.125,247,6,7,0.038,0.7,47.105255738967955,12.734641705488723,77.40392588907945,34.18527518104679,45.69189420487192,17.846520020287922
0.125,247,6,7,0.038,0.71,51.086487948691605,17.77364366466726,71.59769761380355,32.47634480780853,45.69189420487192,17.846520020287922
0.125,247,7,7,0.038,0.7,48.705456416258,13.10699751372228,61.48366624104331,20.103022936590712,45.69189420487192,17.846520020287922
0.125,247,7,7,0.038,0.71,47.87303567076954,17.085613817638464,69.05045518288631,17.211169003562105,45.69189420487192,17.846520020287922
0.125,248,6,7,0.038,0.7,45.41453600304616,12.547343845100256,67.35711620125335,23.086090697224616,45.69189420487192,17.846520020287922
0.125,248,6,7,0.038,0.71,48.48308032574775,17.75283309799615,72.82146587155744,32.03093150907351,45.69189420487192,17.846520020287922
0.125,248,7,7,0.038,0.7,47.50830174233787,17.694131107784724,65.63631916359452,27.791907607751316,45.69189420487192,17.846520020287922
0.125,248,7,7,0.038,0.71,48.059017816751094,16.680823686233875,65.01143468024601,19.32209360714155,45.69189420487192,17.846520020287922
0.125,249,6,7,0.038,0.7,49.12022823433189,12.705486965788054,71.0422267078974,24.681348737456855,45.69189420487192,17.846520020287922
0.125,249,6,7,0.038,0.71,48.727303310498336,20.78093242988829,69.34538973348111,27.903490649332078,45.69189420487192,17.846520020287922
0.125,249,7,7,0.038,0.7,46.74898060890847,14.951503478771045,60.93320148431129,21.042126950689426,45.69189420487192,17.846520020287922
0.125,249,7,7,0.038,0.71,47.491018353555276,18.275813150857285,68.65451746594971,16.34041915608688,45.69189420487192,17.846520020287922
0.13,247,6,7,0.038,0.7,53.534572537461386,18.162472180412635,71.36287755804744,27.961294100782066,45.69189420487192,17.846520020287922
0.13,247,6,7,0.038,0.71,52.49928098203328,17.247462396327673,69.15051330770939,31.57195528321041,45.69189420487192,17.846520020287922
0.13,247,7,7,0.038,0.7,46.92314047189603,18.649204069229775,70.6081685358318,23.954245298603613,45.69189420487192,17.846520020287922
0.13,247,7,7,0.038,0.71,43.20158644895432,13.417273689164087,66.76440262194028,25.890086770620748,45.69189420487192,17.846520020287922
0.13,248,6,7,0.038,0.7,52.31504626878188,17.373062963907575,73.038069369972,26.478523281993432,45.69189420487192,17.846520020287922
0.13,248,6,7,0.038,0.71,49.82936499520112,14.984532012344639,62.32752297475753,22.34804450404406,45.69189420487192,17.846520020287922
0.13,248,7,7,0.038,0.7,47.25160628885962,19.115781647238983,59.96847937749986,19.952491969947857,45.69189420487192,17.846520020287922
0.13,248,7,7,0.038,0.71,43.58347073619667,10.087684393018355,65.40535875894729,27.08195973617379,45.69189420487192,17.846520020287922
0.13,249,6,7,0.038,0.7,53.51317734960113,18.297172413193017,75.39440890674179,26.932473268199136,45.69189420487192,17.846520020287922
0.13,249,6,7,0.038,0.71,48.97193095331138,18.284157057348228,72.23814098800912,36.98742593457389,45.69189420487192,17.846520020287922
0.13,249,7,7,0.038,0.7,52.228706286842865,15.324505946568276,62.463888448978345,19.806680518951236,45.69189420487192,17.846520020287922
0.13,249,7,7,0.038,0.71,44.14839224466543,11.187058677577573,69.66388352986267,25.22120826642732,45.69189420487192,17.846520020287922
