DC_NOME,TIPO,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
AGUA BRANCA,CONVENCIONAL,AL,Operante,-9.264722,-37.938056,603.42,04/05/1928,19/03/2127
ALTAMIRA,CONVENCIONAL,PA,Operante,-3.214167,-52.213056,101.51,23/04/1927,21/06/2125
ALTO DA BOA VISTA,CONVENCIONAL,RJ,Operante,-22.965833,-43.279167,347.1,31/05/1966,06/04/2127
APODI,CONVENCIONAL,RN,Operante,-5.626667,-37.815,131.37,17/12/1962,13/02/2126
ARACUAI,CONVENCIONAL,MG,Operante,-16.848889,-42.060833,317.67,05/09/1918,14/06/2128
ARAGARCAS,CONVENCIONAL,GO,Operante,-15.9025,-52.245278,327.03,18/07/1970,01/04/2128
ARAGUAINA,CONVENCIONAL,TO,Operante,-7.103889,-48.201389,231.85,20/08/1984,23/04/2126
ARAXA,CONVENCIONAL,MG,Operante,-19.605556,-46.949722,1018.28,06/09/1916,29/10/2128
ARCO VERDE,CONVENCIONAL,PE,Operante,-8.433611,-37.055278,683.91,31/01/1973,10/12/2126
AREIA,CONVENCIONAL,PB,Operante,-6.975556,-35.718056,571.75,31/12/1928,30/05/2126
ARINOS,CONVENCIONAL,MG,Operante,-15.915278,-46.107222,523,04/04/1976,17/04/2128
BACABAL,CONVENCIONAL,MA,Operante,-4.218056,-44.775833,26.6,14/08/1976,06/10/2125
BAGE,CONVENCIONAL,RS,Operante,-31.305556,-54.119444,245.66,31/12/1911,04/12/2129
BALSAS,CONVENCIONAL,MA,Operante,-7.529444,-46.046389,263.48,13/08/1976,10/08/2126
BARCELOS,CONVENCIONAL,AM,Operante,-0.974167,-62.928611,30.65,31/07/1924,24/10/2124
BARRA,CONVENCIONAL,BA,Operante,-11.084858,-43.138998,407.5,02/03/1925,25/09/2127
BARRA DO CORDA,CONVENCIONAL,MA,Operante,-5.506389,-45.237222,154.17,13/01/1912,25/01/2126
BARREIRAS,CONVENCIONAL,BA,Operante,-12.155833,-45.008333,447.51,31/12/1923,21/11/2127
BELEM,CONVENCIONAL,PA,Operante,-1.435833,-48.437222,7.13,31/10/1923,10/01/2125
BELO HORIZONTE,CONVENCIONAL,MG,Operante,-19.934444,-43.952222,915.47,02/03/1910,06/11/2128
BELTERRA,CONVENCIONAL,PA,Operante,-2.642222,-54.943889,164.3,31/07/1971,06/03/2125
BENJAMIN CONSTANT,CONVENCIONAL,AM,Operante,-4.378611,-70.03,78.41,31/12/1923,17/08/2125
BOA ESPERANCA,CONVENCIONAL,ES,Operante,-18.537222,-40.272222,100,22/10/1985,07/10/2128
BOA VISTA,CONVENCIONAL,RR,Operante,2.829444,-60.661944,84.18,01/01/1923,27/07/2124
BOM JESUS,CONVENCIONAL,RS,Operante,-28.669444,-50.441944,1047.5,23/05/1948,04/10/2129
BOM JESUS DA LAPA,CONVENCIONAL,BA,Operante,-13.251111,-43.405278,447.75,31/10/1941,12/01/2128
BOM JESUS DO PIAUI,CONVENCIONAL,PI,Operante,-9.08,-44.327778,288,18/04/1971,05/03/2127
BRASILIA,CONVENCIONAL,DF,Operante,-15.789722,-47.925833,1161.42,11/09/1961,10/04/2128
BREVES,CONVENCIONAL,PA,Operante,-1.680278,-50.478056,9.8,31/08/1970,07/01/2125
C. DO MATO DENTRO,CONVENCIONAL,MG,Operante,-19.020278,-43.433889,663.02,29/06/1925,08/11/2128
CABROBO,CONVENCIONAL,PE,Operante,-8.503889,-39.315278,342.78,16/10/1927,06/12/2126
CAMETA,CONVENCIONAL,PA,Operante,-2.239722,-49.499722,9.93,30/04/1970,23/03/2125
