id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2023-01-06;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-01-06;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-01-06;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-01-06;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-01-13;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-01-13;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-01-13;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-01-13;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-01-20;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-01-20;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-01-20;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-01-20;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-01-27;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-01-27;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-01-27;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-01-27;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-02-03;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-02-03;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-02-03;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-02-03;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-02-10;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-02-10;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-02-10;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-02-10;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-02-17;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-02-17;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-02-17;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-02-17;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-02-24;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-02-24;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-02-24;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-02-24;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-03-03;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-03-03;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-03-03;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-03-03;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-03-10;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-03-10;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-03-10;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-03-10;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-03-17;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-03-17;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-03-17;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-03-17;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-03-24;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-03-24;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-03-24;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-03-24;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-03-31;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-03-31;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-03-31;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-03-31;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-04-07;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-04-07;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-04-07;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-04-07;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-04-14;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-04-14;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-04-14;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-04-14;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-04-21;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-04-21;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-04-21;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-04-21;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-04-28;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-04-28;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-04-28;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-04-28;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-05-05;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-05-05;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-05-05;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-05-05;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-05-12;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-05-12;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-05-12;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-05-12;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-05-19;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-05-19;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-05-19;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-05-19;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-05-26;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-05-26;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-05-26;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-05-26;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-06-02;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-06-02;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-06-02;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-06-02;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-06-09;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-06-09;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-06-09;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-06-09;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-06-16;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-06-16;0E-8;0E-8;0E-8;0E-8
S;SUL;2023-06-16;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2023-06-16;0E-8;0E-8;0E-8;0E-8
N;NORTE;2023-06-23;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2023-06-23;0E-8;0E-8;0E-8;0E-8
