dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;205;N;NORTE;MANAUARA;0.00
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;204;N;NORTE;JARAQUI;0.00
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;207;N;NORTE;PONTA NEGR;0.00
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;209;N;NORTE;TAMBAQUI;0.00
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;203;N;NORTE;C. ROCHA;0.00
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;140;N;NORTE;UTE MAUA 3;70.25
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;201;N;NORTE;APARECIDA;70.25
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;212;N;NORTE;MARANHAO3;82.48
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;36;N;NORTE;MARANHAOIV;124.19
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;21;N;NORTE;MARANHAO V;124.19
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;176;N;NORTE;P. ITAQUI;143.03
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;116;N;NORTE;PARNAIB_IV;151.69
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;46;N;NORTE;N.VENECIA2;223.51
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;206;N;NORTE;MAUA B3;411.92
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;141;N;NORTE;MAUA B4;575.00
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;300;N;NORTE;MAUA B1;711.77
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;70;N;NORTE;GERAMAR2;720.74
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;73;N;NORTE;GERAMAR1;720.74
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;303;N;NORTE;ELECTRON;872.84
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;317;N;NORTE;IRANDUBA;955.63
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;318;N;NORTE;FLORES LT1;969.35
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;319;N;NORTE;FLORES LT2;984.90
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;167;NE;NORDESTE;P.PECEM1;136.37
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;96;NE;NORDESTE;TERMOPE;138.51
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;163;NE;NORDESTE;P.PECEM2;148.41
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;147;NE;NORDESTE;PROSPERIDA;159.37
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;42;NE;NORDESTE;FORTALEZA;180.57
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;224;NE;NORDESTE;PSERGIPE I;206.57
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;74;NE;NORDESTE;R.ALMEIDA;345.02
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;58;NE;NORDESTE;TERMOCEARA;368.23
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;43;NE;NORDESTE;C.FURTADO;374.87
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;83;NE;NORDESTE;JS_PEREIRA;450.86
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;221;NE;NORDESTE;SYKUE I;510.12
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;98;NE;NORDESTE;PERNAMBU_3;616.83
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;57;NE;NORDESTE;MARACANAU;698.24
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;152;NE;NORDESTE;TERMOCABO;712.04
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;69;NE;NORDESTE;TERMOPB;716.62
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;67;NE;NORDESTE;TERMONE;716.62
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;52;NE;NORDESTE;CAMPINA_GR;720.77
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;112;NE;NORDESTE;BAHIA_1;729.37
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;170;NE;NORDESTE;SUAPE II;730.11
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;55;NE;NORDESTE;GLOBAL II;817.35
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;53;NE;NORDESTE;GLOBAL I;817.35
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;125;NE;NORDESTE;PECEM;1009.78
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;117;NE;NORDESTE;C.MAIOR;1009.78
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;138;NE;NORDESTE;NAZARIA;1009.78
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;135;NE;NORDESTE;MARAMBAIA;1009.78
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;127;NE;NORDESTE;IGUATU;1009.78
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;109;NE;NORDESTE;ALTOS;1009.78
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;119;NE;NORDESTE;CAUCAIA;1009.78
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;113;NE;NORDESTE;BATURITE;1009.78
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;111;NE;NORDESTE;ARACATI;1009.78
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;121;NE;NORDESTE;CRATO;1009.78
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;133;NE;NORDESTE;JUAZEIRO N;1009.78
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;166;NE;NORDESTE;AREMBEPE;1165.80
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;164;NE;NORDESTE;MURICY;1165.80
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;161;NE;NORDESTE;POTIGUAR_3;1221.87
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;151;NE;NORDESTE;POTIGUAR;1221.88
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;144;NE;NORDESTE;PETROLINA;1279.05
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;159;NE;NORDESTE;TERMOMANAU;1378.14
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;160;NE;NORDESTE;PAU FERRO;1378.14
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;107;S;SUL;PAMPA SUL;67.12
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;149;S;SUL;SAO SEPE;84.44
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;156;S;SUL;CANDIOTA_3;84.68
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;24;S;SUL;J.LACER. C;193.62
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;25;S;SUL;J.LACER. B;228.12
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;27;S;SUL;J.LAC. A2;235.35
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;26;S;SUL;J.LAC. A1;254.97
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;169;S;SUL;MADEIRA;303.11
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;28;S;SUL;FIGUEIRA;475.68
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;35;S;SUL;URUGUAIANA;486.20
2019-12-28;2020-01-03;2020;1;0;PMO Janeiro 2020;48;S;SUL;ARAUCARIA;678.18
