MUNICÍPIO - UF,UF,LATITUDE,LONGITUDE
ABADIA DOS DOURADOS - MG,MG,-18.48756496,-47.39683244
ABAIARA - CE,CE,-7.356976596,-39.04754664
ABDON BATISTA - SC,SC,-27.60898712,-51.02527221
ABELARDO LUZ - SC,SC,-26.56303102,-52.33648238
ABRE CAMPO - MG,MG,-20.30144528,-42.48098999
ABREU E LIMA - PE,PE,-7.90444899,-34.89913058
ACARAÚ - CE,CE,-2.88531054,-40.11824147
ACARÁ - PA,PA,-1.9634365,-48.20045643
ACAUÃ - PI,PI,-8.220786663,-41.08363782
ACREÚNA - GO,GO,-17.39815622,-50.37497337
ADAMANTINA - SP,SP,-21.68831148,-51.07336475
ADUSTINA - BA,BA,-10.52957157,-38.11550583
AFONSO BEZERRA - RN,RN,-5.498734268,-36.50914823
AFRÂNIO - PE,PE,-8.511091284,-41.00579734
AFUÁ - PA,PA,-0.159171694,-50.39142759
AGRESTINA - PE,PE,-8.455973,-35.94677684
AGROLÂNDIA - SC,SC,-27.40051659,-49.82565339
AGUDO - RS,RS,-29.64566336,-53.25869169
AGUDOS - SP,SP,-22.474037,-48.99015629
AGUIARNÓPOLIS - TO,TO,-6.547170821,-47.47045659
AJURICABA - RS,RS,-28.23772901,-53.77281889
ALAGOA - MG,MG,-22.17113566,-44.63809887
ALAGOINHAS - BA,BA,-12.13418259,-38.42261577
ALDEIAS ALTAS - MA,MA,-4.630779495,-43.46873485
ALEGRE - ES,ES,-20.76326514,-41.53648832
ALEGRETE - RS,RS,-29.78204321,-55.79587015
ALEGRETE DO PIAUÍ - PI,PI,-7.245349466,-40.85786299
ALFENAS - MG,MG,-21.42817812,-45.9489182
ALFREDO CHAVES - ES,ES,-20.63034754,-40.76004965
ALMEIRIM - PA,PA,-1.527338803,-52.57683509
ALMIRANTE TAMANDARÉ - PR,PR,-25.3133776,-49.30031982
ALMIRANTE TAMANDARÉ DO SUL - RS,RS,-28.11372629,-52.91371455
ALPERCATA - MG,MG,-18.98683126,-41.98912911
ALTA FLORESTA - MT,MT,-9.871722597,-56.09161044
ALTA FLORESTA D'OESTE - RO,RO,-11.9355403,-61.9998239
ALTAMIRA - PA,PA,-3.20565951,-52.21437631
ALTO ALEGRE - RR,RR,2.993822948,-61.31402239
ALTO ARAGUAIA - MT,MT,-17.31558994,-53.22026033
ALTO DO RODRIGUES - RN,RN,-5.293807788,-36.75949261
ALTO GARÇAS - MT,MT,-16.94672218,-53.52845412
ALTO PARAGUAI - MT,MT,-14.51471181,-56.49444166
ALTO PARANÁ - PR,PR,-23.12712083,-52.32168244
ALTO TAQUARI - MT,MT,-17.83474365,-53.28199312
ALVARENGA - MG,MG,-19.41446969,-41.72644227
ALVARÃES - AM,AM,-3.216583769,-64.81353468
ALVINÓPOLIS - MG,MG,-20.11476348,-43.06608324
ALÉM PARAÍBA - MG,MG,-21.87680371,-42.6959466
AMAJARI - RR,RR,3.652118445,-61.42059017
AMAMBAI - MS,MS,-23.10058224,-55.24382769
AMATURÁ - AM,AM,-3.366805188,-68.20961464
AMERICANA - SP,SP,-22.7408835,-47.33036293
AMETISTA DO SUL - RS,RS,-27.35642547,-53.19217726
AMONTADA - CE,CE,-3.364877803,-39.82882279
AMPARO - SP,SP,-22.69938863,-46.76508569
AMÉRICO BRASILIENSE - SP,SP,-21.7300365,-48.10660456
ANAHY - PR,PR,-24.64758246,-53.13331983
ANAJÁS - PA,PA,-0.984451394,-49.94500104
ANAMÃ - AM,AM,-3.576370427,-61.40590348
ANANINDEUA - PA,PA,-1.368713568,-48.37206665
ANAURILÂNDIA - MS,MS,-22.18265027,-52.71816936
ANCHIETA - SC,SC,-26.53568086,-53.33327018
ANDIRÁ - PR,PR,-23.05175165,-50.2264076
ANDRADINA - SP,SP,-20.90146352,-51.37884779
ANDRÉ DA ROCHA - RS,RS,-28.6319772,-51.57373797
ANGELINA - SC,SC,-27.58225735,-48.98347606
ANGICAL - BA,BA,-12.00668277,-44.69582348
ANGICOS - RN,RN,-5.660365329,-36.60543287
ANGRA DOS REIS - RJ,RJ,-23.00911594,-44.31962726
ANGÉLICA - MS,MS,-22.15606252,-53.76973048
ANITA GARIBALDI - SC,SC,-27.68377729,-51.13119387
ANITÁPOLIS - SC,SC,-27.9098869,-49.13159937
ANORI - AM,AM,-3.745385586,-61.65895538
ANTA GORDA - RS,RS,-28.97088436,-52.01582344
ANTONINA - PR,PR,-25.43016613,-48.71290006
ANTÔNIO CARLOS - SC,SC,-27.51337105,-48.76496003
ANTÔNIO DIAS - MG,MG,-19.65146667,-42.86954521
ANTÔNIO GONÇALVES - BA,BA,-10.57579779,-40.2756587
ANTÔNIO PRADO - RS,RS,-28.85543762,-51.28357692
ANTÔNIO PRADO DE MINAS - MG,MG,-21.01823206,-42.10934265
ANÁPOLIS - GO,GO,-16.32882574,-48.9572179
APARECIDA - SP,SP,-22.848154,-45.22942934
APARECIDA DE GOIÂNIA - GO,GO,-16.8221465,-49.24332593
APARECIDA DO TABOADO - MS,MS,-20.08502151,-51.09763762
APERIBÉ - RJ,RJ,-21.61942177,-42.10491665
APIÚNA - SC,SC,-27.0418126,-49.39163763
APORÉ - GO,GO,-18.95887745,-51.928073
APUCARANA - PR,PR,-23.55159299,-51.45998514
APUÍ - AM,AM,-7.197870152,-59.8856661
AQUIRAZ - CE,CE,-3.9061945,-38.38980296
ARABUTÃ - SC,SC,-27.1574037,-52.14859926
ARACAJU - SE,SE,-10.9072158,-37.04821264
ARACATI - CE,CE,-4.56706647,-37.7727526
ARACI - BA,BA,-11.33572788,-38.96095816
ARACRUZ - ES,ES,-19.82327774,-40.27622338
ARAGUARI - MG,MG,-18.64826953,-48.19160538
ARAGUAÍNA - TO,TO,-7.19132894,-48.20870525
ARAPEÍ - SP,SP,-22.67479872,-44.44810656
ARAPIRACA - AL,AL,-9.755907011,-36.65729651
ARAPONGAS - PR,PR,-23.41351653,-51.43827973
ARAPORÃ - MG,MG,-18.44190938,-49.19008664
ARAPOTI - PR,PR,-24.14656917,-49.8248285
ARAPUTANGA - MT,MT,-15.46814427,-58.34836715
ARAPUÁ - MG,MG,-19.03385529,-46.15459777
ARAQUARI - SC,SC,-26.37595155,-48.69270741
ARARAQUARA - SP,SP,-21.7903595,-48.17443994
ARARAS - SP,SP,-22.35708652,-47.38582953
ARARIPINA - PE,PE,-7.5781415,-40.50246057
ARARUAMA - RJ,RJ,-22.87743839,-42.34109602
ARARUNA - PB,PB,-6.531447021,-35.73598051
ARARUNA - PR,PR,-23.92820095,-52.4996181
ARATIBA - RS,RS,-27.39444413,-52.30383195
ARAUCÁRIA - PR,PR,-25.591645,-49.4019397
ARAXÁ - MG,MG,-19.5913298,-46.94000989
ARAÇATUBA - SP,SP,-21.205476,-50.43922607
ARAÇUAÍ - MG,MG,-16.8517814,-42.06420655
ARCEBURGO - MG,MG,-21.36018148,-46.94435413
ARCOS - MG,MG,-20.28256312,-45.54363187
AREAL - RJ,RJ,-22.236912,-43.10106981
AREIA BRANCA - RN,RN,-4.952897631,-37.13127172
AREIA DE BARAÚNAS - PB,PB,-7.123695013,-36.94350796
AREIAL - PB,PB,-7.049961089,-35.92280943
ARENÓPOLIS - GO,GO,-16.38754562,-51.56002949
ARINOS - MG,MG,-15.92177169,-46.10775214
ARIPUANÃ - MT,MT,-10.1725237,-59.44861638
ARIQUEMES - RO,RO,-9.908462867,-63.03326928
ARIRANHA - SP,SP,-21.18612744,-48.78833656
ARMAÇÃO DOS BÚZIOS - RJ,RJ,-22.75776379,-41.88774947
ARRAIAS - TO,TO,-12.93441986,-46.94610706
ARROIO DO MEIO - RS,RS,-29.39889072,-51.94744949
ARROIO TRINTA - SC,SC,-26.93256486,-51.33412392
ARTUR NOGUEIRA - SP,SP,-22.57134301,-47.16430115
ARUJÁ - SP,SP,-23.39582674,-46.3204896
ARVOREDO - SC,SC,-27.07353356,-52.45778884
ARÊS - RN,RN,-6.193712274,-35.1606361
ASSIS - SP,SP,-22.66283502,-50.41751004
