id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,Norte,01/01/2000,2243.5125
N,Norte,02/01/2000,2259.808333
N,Norte,03/01/2000,2407.429167
N,Norte,04/01/2000,2404.216667
N,Norte,05/01/2000,2439.65
N,Norte,06/01/2000,2426.683333
N,Norte,07/01/2000,2430.908333
N,Norte,08/01/2000,2286.35
N,Norte,09/01/2000,2242.666667
N,Norte,10/01/2000,2417.595833
N,Norte,11/01/2000,2416.766667
N,Norte,12/01/2000,2418.358333
N,Norte,13/01/2000,2428.520833
N,Norte,14/01/2000,2440.204167
N,Norte,15/01/2000,2352.908333
N,Norte,16/01/2000,2263.8375
N,Norte,17/01/2000,2433.975
N,Norte,18/01/2000,2479.866667
N,Norte,19/01/2000,2439.2375
N,Norte,20/01/2000,2494.579167
N,Norte,21/01/2000,2459.770833
N,Norte,22/01/2000,2393.108333
N,Norte,23/01/2000,2264.091667
N,Norte,24/01/2000,2434.8
N,Norte,25/01/2000,2448.104167
N,Norte,26/01/2000,2463.066667
N,Norte,27/01/2000,2484.583333
N,Norte,28/01/2000,2493.066667
N,Norte,29/01/2000,2402.2625
N,Norte,30/01/2000,2283.104167
N,Norte,31/01/2000,2473.933333
N,Norte,01/02/2000,2466.4
N,Norte,02/02/2000,2474.0125
N,Norte,03/02/2000,2489.079167
N,Norte,04/02/2000,2495.175
N,Norte,05/02/2000,2396.475
N,Norte,06/02/2000,2297.233333
N,Norte,07/02/2000,2430.354167
N,Norte,08/02/2000,2439.2125
N,Norte,09/02/2000,2437.783333
N,Norte,10/02/2000,2406.679167
N,Norte,11/02/2000,2433.9
N,Norte,12/02/2000,2322.170833
N,Norte,13/02/2000,2237.5375
N,Norte,14/02/2000,2391.829167
N,Norte,15/02/2000,2388.3625
N,Norte,16/02/2000,2423.45
N,Norte,17/02/2000,2444.9
N,Norte,18/02/2000,2414.958333
N,Norte,19/02/2000,2378.375
N,Norte,20/02/2000,2274.7125
N,Norte,21/02/2000,2475.0375
N,Norte,22/02/2000,2422.558333
N,Norte,23/02/2000,2439.7875
N,Norte,24/02/2000,2445.158333
N,Norte,25/02/2000,2467.291667
N,Norte,26/02/2000,2364.766667
N,Norte,27/02/2000,2281.358333
N,Norte,28/02/2000,2457.345833
N,Norte,29/02/2000,2466.125
N,Norte,01/03/2000,2472.545833
N,Norte,02/03/2000,2451.929167
N,Norte,03/03/2000,2373.158333
N,Norte,04/03/2000,2349.991667
N,Norte,05/03/2000,2312.583333
N,Norte,06/03/2000,2328.708333
N,Norte,07/03/2000,2286.579167
N,Norte,08/03/2000,2385.083333
N,Norte,09/03/2000,2440.033333
N,Norte,10/03/2000,2446.866667
N,Norte,11/03/2000,2352.845833
N,Norte,12/03/2000,2297.454167
N,Norte,13/03/2000,2451.683333
N,Norte,14/03/2000,2486.075
N,Norte,15/03/2000,2482.820833
N,Norte,16/03/2000,2465.133333
N,Norte,17/03/2000,2457.2875
N,Norte,18/03/2000,2353.25
N,Norte,19/03/2000,2232.454167
N,Norte,20/03/2000,2426.9625
N,Norte,21/03/2000,2452.733333
N,Norte,22/03/2000,2458.4875
N,Norte,23/03/2000,2450.170833
N,Norte,24/03/2000,2467.145833
N,Norte,25/03/2000,2419.566667
N,Norte,26/03/2000,2321.245833
N,Norte,27/03/2000,2464.95
N,Norte,28/03/2000,2444.370833
N,Norte,29/03/2000,2436.8
N,Norte,30/03/2000,2445.175
N,Norte,31/03/2000,2433.066667
N,Norte,01/04/2000,2369.141667
N,Norte,02/04/2000,2305.7375
N,Norte,03/04/2000,2434.670833
N,Norte,04/04/2000,2443.979167
N,Norte,05/04/2000,2465.0375
N,Norte,06/04/2000,2456.616667
N,Norte,07/04/2000,2443.783333
N,Norte,08/04/2000,2396.608333
N,Norte,09/04/2000,2294.733333
N,Norte,10/04/2000,2451.9375
N,Norte,11/04/2000,2460.891667
N,Norte,12/04/2000,2459.054167
N,Norte,13/04/2000,2471.620833
N,Norte,14/04/2000,2484.545833
N,Norte,15/04/2000,2389.491667
N,Norte,16/04/2000,2332.104167
N,Norte,17/04/2000,2472.691667
N,Norte,18/04/2000,2436.8625
N,Norte,19/04/2000,2471.3625
N,Norte,20/04/2000,2442.7125
N,Norte,21/04/2000,2288.5125
