id_subsistema,nom_subsistema,din_instante,val_cmomediasemanal,val_cmoleve,val_cmomedia,val_cmopesada
N,NORTE,2005-01-07,0.94,0.94,0.94,0.94
N,NORTE,2005-01-14,6.34,5.87,6.41,7.64
N,NORTE,2005-01-21,0.82,0.83,0.79,0.93
N,NORTE,2005-01-28,0.71,0.71,0.71,0.71
N,NORTE,2005-02-04,0.0,0.0,0.0,0.0
N,NORTE,2005-02-11,0.0,0.0,0.0,0.0
N,NORTE,2005-02-18,0.0,0.0,0.0,0.0
N,NORTE,2005-02-25,0.0,0.0,0.0,0.0
N,NORTE,2005-03-04,0.0,0.0,0.0,0.0
N,NORTE,2005-03-11,0.0,0.0,0.0,0.0
N,NORTE,2005-03-18,1.79,0.0,0.0,16.7
N,NORTE,2005-03-25,1.58,0.03,0.03,17.44
N,NORTE,2005-04-01,0.0,0.0,0.0,0.0
N,NORTE,2005-04-08,0.0,0.0,0.0,0.0
N,NORTE,2005-04-15,0.0,0.0,0.0,0.0
N,NORTE,2005-04-22,0.0,0.0,0.0,0.0
N,NORTE,2005-04-29,3.1,0.0,0.0,28.92
N,NORTE,2005-05-06,4.51,0.0,0.0,42.11
N,NORTE,2005-05-13,3.96,0.0,0.0,36.93
N,NORTE,2005-05-20,4.77,0.0,0.0,44.48
N,NORTE,2005-05-27,9.81,9.81,9.81,9.81
N,NORTE,2005-06-03,8.45,0.0,13.26,13.26
N,NORTE,2005-06-10,14.83,14.71,14.87,15.08
N,NORTE,2005-06-17,28.67,28.44,28.79,28.85
N,NORTE,2005-06-24,26.42,26.1,26.52,27.0
N,NORTE,2005-07-01,20.87,20.77,20.88,21.19
N,NORTE,2005-07-08,23.27,23.09,23.26,23.91
N,NORTE,2005-07-15,29.52,29.4,29.52,29.97
N,NORTE,2005-07-22,31.86,31.62,31.93,32.34
N,NORTE,2005-07-29,30.81,30.59,30.87,31.24
N,NORTE,2005-08-05,28.52,28.25,28.57,29.16
N,NORTE,2005-08-12,28.33,28.13,28.37,28.77
N,NORTE,2005-08-19,38.15,37.89,38.21,38.72
N,NORTE,2005-08-26,34.13,33.72,34.28,34.81
