data_hora,temperatura,velocidade_vento,direcao_vento
2021-01-01 00:00:00,22.6,25.0,83
2021-01-01 01:00:00,21.4,25.1,74
2021-01-01 02:00:00,20.7,23.8,72
2021-01-01 03:00:00,20.1,23.2,83
2021-01-01 04:00:00,19.5,26.3,100
2021-01-01 05:00:00,18.4,25.6,92
2021-01-01 06:00:00,17.8,25.6,92
2021-01-01 07:00:00,17.5,24.5,93
2021-01-01 08:00:00,17.4,24.2,93
2021-01-01 09:00:00,17.8,24.2,94
2021-01-01 10:00:00,18.9,24.9,92
2021-01-01 11:00:00,20.6,24.1,91
2021-01-01 12:00:00,22.5,20.9,93
2021-01-01 13:00:00,24.4,18.4,94
2021-01-01 14:00:00,25.9,11.7,108
2021-01-01 15:00:00,26.7,9.5,119
2021-01-01 16:00:00,27.7,8.6,123
2021-01-01 17:00:00,28.1,6.9,137
2021-01-01 18:00:00,28.5,7.4,133
2021-01-01 19:00:00,28.0,8.8,125
2021-01-01 20:00:00,27.2,10.6,114
2021-01-01 21:00:00,25.1,14.9,97
2021-01-01 22:00:00,24.0,19.6,96
2021-01-01 23:00:00,23.0,18.9,98
2021-01-02 00:00:00,22.9,19.8,89
2021-01-02 01:00:00,21.6,20.5,88
2021-01-02 02:00:00,21.1,19.8,87
2021-01-02 03:00:00,20.6,20.6,84
2021-01-02 04:00:00,20.4,22.4,79
2021-01-02 05:00:00,19.9,23.5,96
2021-01-02 06:00:00,19.1,22.9,98
2021-01-02 07:00:00,18.4,21.3,92
2021-01-02 08:00:00,18.0,21.2,89
2021-01-02 09:00:00,18.1,21.2,90
2021-01-02 10:00:00,19.8,18.4,86
2021-01-02 11:00:00,21.9,18.6,81
2021-01-02 12:00:00,23.6,18.3,80
2021-01-02 13:00:00,25.6,14.5,84
2021-01-02 14:00:00,26.8,9.8,96
2021-01-02 15:00:00,27.2,8.8,125
2021-01-02 16:00:00,27.6,10.0,139
2021-01-02 17:00:00,28.3,11.5,139
2021-01-02 18:00:00,28.0,13.3,128
2021-01-02 19:00:00,27.1,12.4,107
2021-01-02 20:00:00,26.6,13.1,106
2021-01-02 21:00:00,25.2,16.1,100
2021-01-02 22:00:00,24.1,22.4,94
2021-01-02 23:00:00,23.3,22.8,84
2021-01-03 00:00:00,23.1,22.3,92
2021-01-03 01:00:00,21.8,20.9,93
2021-01-03 02:00:00,21.2,21.3,96
2021-01-03 03:00:00,20.9,22.1,97
2021-01-03 04:00:00,20.5,25.8,102
2021-01-03 05:00:00,19.8,25.4,97
2021-01-03 06:00:00,19.2,26.0,93
2021-01-03 07:00:00,18.7,25.9,89
2021-01-03 08:00:00,18.2,24.8,91
2021-01-03 09:00:00,18.1,23.1,94
2021-01-03 10:00:00,19.5,19.1,90
2021-01-03 11:00:00,21.4,20.2,85
2021-01-03 12:00:00,22.8,21.6,89
2021-01-03 13:00:00,24.4,16.9,90
2021-01-03 14:00:00,25.7,12.0,99
2021-01-03 15:00:00,25.6,13.2,107
2021-01-03 16:00:00,26.5,13.5,106
2021-01-03 17:00:00,26.9,15.0,100
2021-01-03 18:00:00,26.9,15.2,94
2021-01-03 19:00:00,27.4,15.5,102
2021-01-03 20:00:00,26.7,20.1,99
2021-01-03 21:00:00,24.7,22.4,86
2021-01-03 22:00:00,23.1,21.6,87
2021-01-03 23:00:00,21.9,22.1,83
2021-01-04 00:00:00,21.9,22.8,95
2021-01-04 01:00:00,21.0,22.2,82
2021-01-04 02:00:00,20.5,21.1,81
2021-01-04 03:00:00,20.0,19.1,87
2021-01-04 04:00:00,19.6,21.4,103
2021-01-04 05:00:00,19.3,26.3,103
2021-01-04 06:00:00,18.6,24.6,102
2021-01-04 07:00:00,18.0,24.4,99
2021-01-04 08:00:00,17.7,22.9,98
2021-01-04 09:00:00,17.5,22.1,96
2021-01-04 10:00:00,18.9,18.0,89
2021-01-04 11:00:00,20.5,19.4,89
2021-01-04 12:00:00,22.7,19.4,100
2021-01-04 13:00:00,24.7,13.3,109
2021-01-04 14:00:00,25.9,12.6,117
2021-01-04 15:00:00,26.7,14.5,117
2021-01-04 16:00:00,26.9,17.9,109
2021-01-04 17:00:00,27.1,16.5,110
2021-01-04 18:00:00,27.2,15.8,114
2021-01-04 19:00:00,27.4,17.9,112
2021-01-04 20:00:00,26.5,23.7,116
2021-01-04 21:00:00,23.8,28.4,120
2021-01-04 22:00:00,22.6,26.3,113
2021-01-04 23:00:00,22.1,27.2,105
2021-01-05 00:00:00,22.0,23.8,108
2021-01-05 01:00:00,20.9,23.1,108
2021-01-05 02:00:00,20.5,21.9,113
2021-01-05 03:00:00,20.1,30.6,114
2021-01-05 04:00:00,18.5,29.1,112
2021-01-05 05:00:00,17.5,27.6,107
2021-01-05 06:00:00,17.0,26.9,102
2021-01-05 07:00:00,16.6,27.3,99
2021-01-05 08:00:00,16.4,27.6,98
2021-01-05 09:00:00,16.4,27.3,98
2021-01-05 10:00:00,17.9,26.6,99
2021-01-05 11:00:00,20.1,24.2,95
2021-01-05 12:00:00,21.8,26.0,100
2021-01-05 13:00:00,23.9,25.8,103
2021-01-05 14:00:00,26.0,24.3,105
2021-01-05 15:00:00,27.3,23.6,106
2021-01-05 16:00:00,28.3,24.8,109
2021-01-05 17:00:00,28.2,27.1,115
2021-01-05 18:00:00,27.6,28.1,113
2021-01-05 19:00:00,26.7,25.7,110
2021-01-05 20:00:00,25.9,26.9,106
2021-01-05 21:00:00,24.1,24.6,95
2021-01-05 22:00:00,22.9,25.2,93
2021-01-05 23:00:00,22.0,21.8,99
2021-01-06 00:00:00,21.7,21.7,119
2021-01-06 01:00:00,21.7,26.3,115
2021-01-06 02:00:00,21.2,25.6,110
2021-01-06 03:00:00,20.8,28.6,111
2021-01-06 04:00:00,19.5,27.7,111
2021-01-06 05:00:00,18.3,25.9,106
2021-01-06 06:00:00,17.4,23.4,101
2021-01-06 07:00:00,17.0,22.6,99
2021-01-06 08:00:00,16.9,22.1,97
2021-01-06 09:00:00,16.9,21.6,93
2021-01-06 10:00:00,18.1,22.0,91
