Data,Geração programada,Geração verificada,temperatura,velocidade_vento,direcao_vento
2021-01-01 00:00:00,257.5,291.246,20.5,23.2,83
2021-01-01 01:00:00,234.5,297.211,19.9,26.3,100
2021-01-01 02:00:00,221.0,286.336,18.9,25.6,92
2021-01-01 03:00:00,206.0,266.143,18.2,25.6,92
2021-01-01 04:00:00,187.5,262.873,17.9,24.5,93
2021-01-01 05:00:00,171.0,246.994,17.9,24.2,93
2021-01-01 06:00:00,163.5,222.862,18.2,24.2,94
2021-01-01 07:00:00,163.5,254.567,19.4,24.9,92
2021-01-01 08:00:00,161.0,221.275,21.0,24.1,91
2021-01-01 09:00:00,136.0,139.679,22.9,20.9,93
2021-01-01 10:00:00,90.0,99.043,24.9,18.4,94
2021-01-01 11:00:00,52.5,48.548,26.4,11.7,108
2021-01-01 12:00:00,37.0,23.597,27.1,9.5,119
2021-01-01 13:00:00,31.5,26.433,28.2,8.6,123
2021-01-01 14:00:00,31.5,19.036,28.6,6.9,137
2021-01-01 15:00:00,38.0,19.896,28.9,7.4,133
2021-01-01 16:00:00,54.5,35.871,28.4,8.8,125
2021-01-01 17:00:00,82.0,29.687,27.7,10.6,114
2021-01-01 18:00:00,116.5,101.123,25.5,14.9,97
2021-01-01 19:00:00,152.0,179.55,24.4,19.6,96
2021-01-01 20:00:00,173.0,240.119,23.4,18.9,98
2021-01-01 21:00:00,176.0,225.801,23.3,19.8,89
2021-01-01 22:00:00,185.0,201.583,22.1,20.5,88
2021-01-01 23:00:00,213.0,166.745,21.5,19.8,87
2021-01-02 00:00:00,246.0,195.523,21.1,20.6,84
2021-01-02 01:00:00,224.0,238.778,20.9,22.4,79
2021-01-02 02:00:00,200.5,206.069,20.3,23.5,96
2021-01-02 03:00:00,170.5,183.537,19.5,22.9,98
2021-01-02 04:00:00,139.5,196.486,18.9,21.3,92
2021-01-02 05:00:00,113.5,199.571,18.5,21.2,89
2021-01-02 06:00:00,104.5,196.45,18.6,21.2,90
2021-01-02 07:00:00,110.0,153.861,20.3,18.4,86
2021-01-02 08:00:00,108.5,77.862,22.3,18.6,81
2021-01-02 09:00:00,88.0,37.894,24.1,18.3,80
2021-01-02 10:00:00,55.5,12.229,26.1,14.5,84
2021-01-02 11:00:00,30.0,9.97,27.2,9.8,96
2021-01-02 12:00:00,20.5,14.25,27.6,8.8,125
2021-01-02 13:00:00,17.5,26.46,28.1,10.0,139
2021-01-02 14:00:00,17.5,29.404,28.7,11.5,139
2021-01-02 15:00:00,21.5,114.747,28.5,13.3,128
2021-01-02 16:00:00,33.5,205.793,27.6,12.4,107
2021-01-02 17:00:00,61.0,261.06,27.0,13.1,106
2021-01-02 18:00:00,91.5,218.816,25.6,16.1,100
2021-01-02 19:00:00,96.5,223.115,24.6,22.4,94
2021-01-02 20:00:00,86.5,262.557,23.7,22.8,84
2021-01-02 21:00:00,90.5,245.68,23.6,22.3,92
2021-01-02 22:00:00,121.0,215.179,22.2,20.9,93
2021-01-02 23:00:00,185.5,195.287,21.7,21.3,96
2021-01-03 00:00:00,249.5,242.806,21.3,22.1,97
2021-01-03 01:00:00,242.0,280.464,20.9,25.8,102
2021-01-03 02:00:00,226.5,273.181,20.2,25.4,97
2021-01-03 03:00:00,206.0,277.42,19.7,26.0,93
2021-01-03 04:00:00,194.0,255.543,19.1,25.9,89
2021-01-03 05:00:00,192.5,230.41,18.6,24.8,91
2021-01-03 06:00:00,191.5,261.368,18.6,23.1,94
2021-01-03 07:00:00,195.0,259.446,19.9,19.1,90
2021-01-03 08:00:00,188.5,252.718,21.9,20.2,85
2021-01-03 09:00:00,156.5,214.104,23.2,21.6,89
2021-01-03 10:00:00,115.5,184.372,24.9,16.9,90
2021-01-03 11:00:00,83.5,144.346,26.1,12.0,99
2021-01-03 12:00:00,59.5,90.63,26.1,13.2,107
2021-01-03 13:00:00,42.5,83.756,26.9,13.5,106
2021-01-03 14:00:00,38.0,80.878,27.3,15.0,100
2021-01-03 15:00:00,40.0,74.918,27.3,15.2,94
2021-01-03 16:00:00,47.5,97.927,27.8,15.5,102
2021-01-03 17:00:00,66.0,105.836,27.1,20.1,99
2021-01-03 18:00:00,91.0,144.63,25.2,22.4,86
2021-01-03 19:00:00,96.5,221.767,23.6,21.6,87
2021-01-03 20:00:00,89.5,251.692,22.4,22.1,83
2021-01-03 21:00:00,93.5,244.619,22.3,22.8,95
2021-01-03 22:00:00,102.5,227.983,21.5,22.2,82
2021-01-03 23:00:00,129.0,237.586,20.9,21.1,81
2021-01-04 00:00:00,253.5,282.657,20.5,19.1,87
2021-01-04 01:00:00,228.0,303.372,20.0,21.4,103
2021-01-04 02:00:00,201.0,277.299,19.8,26.3,103
2021-01-04 03:00:00,184.0,255.601,19.1,24.6,102
2021-01-04 04:00:00,191.0,248.569,18.5,24.4,99
2021-01-04 05:00:00,208.0,229.404,18.1,22.9,98
